amostra_id,atividade_id,troco_id,zona_ordem,valor,variavel,limite_inferior,limite_superior,razao
22664327478_272_Z4,22664327478,272,4,721.298337006614,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_288_Z5,22664327478,288,5,874.0781207320265,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_289_Z5,22664327478,289,5,739.9103139013392,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_309_Z5,22664327478,309,5,758.3682008368605,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22910890927_167_Z4,22910890927,167,4,1015.1232649678416,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22943992812_92_Z4,22943992812,92,4,718.9934092270863,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22943992812_121_Z3,22943992812,121,3,770.9033405811404,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22943992812_122_Z3,22943992812,122,3,767.3667205169702,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23064485029_174_Z1,23064485029,174,1,809.4645080946096,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_22_Z4,23161986328,22,4,790.5939590512847,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_25_Z4,23161986328,25,4,935.9104781281816,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_26_Z4,23161986328,26,4,1078.3907092492786,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_27_Z4,23161986328,27,4,1207.9947287502632,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_28_Z4,23161986328,28,4,969.797727902456,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_29_Z5,23161986328,29,5,1266.9683257918605,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_31_Z4,23161986328,31,4,1031.8949343339618,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_35_Z4,23161986328,35,4,813.6482939632517,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_38_Z4,23161986328,38,4,1197.4584555229694,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_39_Z4,23161986328,39,4,846.0586050350798,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_84_Z5,23161986328,84,5,854.50865752192,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_85_Z5,23161986328,85,5,796.4954201513301,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
23161986328_97_Z5,23161986328,97,5,732.3832145684814,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
