repeticao,n_atividades_treino,n_atividades_validacao,mae_treino_s_km,mae_validacao_s_km
5,15,19,41.63431451627177,79.59257538748942
5,16,18,42.01865660203737,80.54249388453519
5,17,17,44.09541081567521,80.33993744629869
5,18,16,48.285968595433474,69.82669493697814
5,19,15,48.937302649306865,70.3070940443201
5,20,14,47.953921858466444,74.0339223900323
5,21,13,47.18117103448339,76.96430650977383
5,22,12,46.58940994948384,80.25171727480462
5,23,11,47.1414444905677,80.65464052597865
5,24,10,51.52767175825673,73.98651229560616
5,25,9,51.48619830939024,75.29892677621093
5,26,8,51.346124387187494,73.11011327937511
5,27,7,51.425687524591204,81.24986530978921
5,28,6,51.276541072951694,85.4293236582745
5,29,5,51.63372006801216,84.97245524388141
5,30,4,51.282706051073596,93.89767068583654
5,31,3,52.12115997874168,93.1341995589527
5,32,2,52.58139740624279,101.65169921947012
5,33,1,53.773460429568054,88.54178129726844
6,2,32,7.190518917803486,119.34358064015322
6,3,31,32.53780804071784,92.76317270117049
6,4,30,32.858373946504095,91.71926934827577
6,5,29,42.87805665080498,78.59154185896776
6,6,28,47.69662840774437,68.69540095317308
6,7,27,48.948068883665556,69.50350587205529
6,8,26,48.30180748824193,74.40970673182484
6,9,25,45.43401191241237,72.96636410600557
6,10,24,47.151573253149266,71.23434377196898
6,11,23,49.415724052701215,68.95562300432908
6,12,22,49.28106979501647,70.37315842045282
6,13,21,48.163805840558,73.16285636096451
6,14,20,49.67074109858887,71.66075061707485
6,15,19,51.27239969939429,66.99355242954778
6,16,18,50.24969011819336,66.77876526735062
6,17,17,52.6209247500438,64.56445750834772
6,18,16,52.12947561809108,65.98224389581486
6,19,15,51.75865121658893,66.95885219473811
6,20,14,52.082718414683704,68.6178869591589
6,21,13,49.43917291526346,72.34889639084669
6,22,12,49.394758182271666,75.75219846223744
6,23,11,53.099747106342164,65.44358878492693
6,24,10,53.41555560252989,66.0507774757662
6,25,9,53.6484348982926,65.23763017844406
6,26,8,52.58359342686113,68.06904364907169
6,27,7,52.16169119678597,71.42846256979793
6,28,6,51.23865974153838,82.55136434469551
6,29,5,53.644874400639736,72.95510449775453
6,30,4,52.720123966374636,79.79835655387183
6,31,3,53.273741916045026,77.91493560649806
6,32,2,53.62385849005763,75.54403878225942
6,33,1,53.773460429568054,88.54178129726844
7,2,32,36.071168860885145,94.55617361184751
7,3,31,43.54521400063977,88.24191734715261
7,4,30,46.640363567816976,91.34503878336778
7,5,29,48.877671390592184,78.92191004196594
7,6,28,49.99404420627677,82.06093220172598
7,7,27,46.79070453561611,85.96280397330695
7,8,26,47.042166807827584,87.00411336565848
7,9,25,45.88303338574535,81.64601965007837
7,10,24,47.1641042972183,79.31495218463633
7,11,23,48.61307438335263,79.01155391249213
7,12,22,48.0919528668736,80.34190665622008
7,13,21,46.168347319795394,79.366317440189
7,14,20,46.80029589458269,77.27525216687197
7,15,19,46.22629930274923,78.96914092286252
7,16,18,46.68161002620047,69.56183199105203
7,17,17,45.01985264080595,71.23080717595052
7,18,16,45.0788363429466,74.65247193432711
7,19,15,47.4236762834183,72.7719643440024
7,20,14,48.83634186863274,70.82737069985168
7,21,13,50.56273748049887,69.46655779697986
7,22,12,52.38979147349901,73.64868881473305
7,23,11,51.80841599989971,74.88940744703919
7,24,10,51.91776398829543,74.52750188604135
7,25,9,51.92264322559775,77.12347792784435
7,26,8,51.4300413100754,80.17482514070268
7,27,7,49.899698701613055,88.85147578828698
7,28,6,53.49971835427764,70.42643422805534
7,29,5,54.74671794471808,64.47446193818334
7,30,4,54.441417216094,66.6711351972559
7,31,3,53.78996190328394,71.77386610800865
7,32,2,54.1496188942862,67.63464670442045
7,33,1,54.87816176892253,62.19559112587831
