troco_id,distancia_inicio_m,distancia_fim_m,comprimento_troco_m,altitude_inicio_m,altitude_fim_m,altitude_media_m,altitude_normalizada,declive_pct,distancia_inicio_km,subida_acumulada_m,zona_ordem,zona_limite_inferior_bpm,zona_limite_superior_bpm,zona_aberta,ritmo_previsto_s_km,previsao_valida,pouco_suporte,n_amostras_suporte,n_atividades_suporte,ritmo_previsto_mmss_km,tempo_troco_previsto_s
71,3550.0,3600.0,50.0,235.74126037806133,238.90850420270135,237.31237023555488,0.23731237023555488,6.3344876492800495,3.55,46.94397626891981,4,165,185,0,450.00829753964956,True,False,117,16,07:30/km,22.50041487698248
72,3600.0,3650.0,50.0,238.90850420270135,242.02757063727412,240.48919234688765,0.24048919234688765,6.238132869145545,3.6,50.063042703492584,4,165,185,0,450.00829753964956,True,False,111,15,07:30/km,22.50041487698248
73,3650.0,3700.0,50.0,242.02757063727412,244.32916962123286,243.24842145847495,0.24324842145847494,4.603197967917481,3.65,52.364641687451325,4,165,185,0,421.8576222357002,True,False,154,15,07:02/km,21.092881111785008
74,3700.0,3750.0,50.0,244.32916962123286,245.86069786746816,245.1239078224236,0.2451239078224236,3.0630564924705936,3.7,53.89616993368662,4,165,185,0,414.20566854306117,True,False,195,14,06:54/km,20.71028342715306
75,3750.0,3800.0,50.0,245.86069786746816,246.96026936026936,246.49243700397903,0.24649243700397905,2.199142985602407,3.75,54.995741426487825,4,165,185,0,392.3513572321969,True,False,211,14,06:32/km,19.617567861609846
76,3800.0,3850.0,50.0,246.96026936026936,247.24,247.0800897867565,0.2470800897867565,0.5594612794612885,3.8,55.27547206621847,4,165,185,0,380.43982981335523,True,False,213,14,06:20/km,19.021991490667762
77,3850.0,3900.0,50.0,247.24,247.72937499999998,247.4744791666666,0.24747447916666662,0.9787499999999341,3.85,55.76484706621844,4,165,185,0,376.7431293484669,True,False,206,14,06:17/km,18.837156467423345
78,3900.0,3950.0,50.0,247.72937499999998,248.28845528455287,248.0005326897019,0.2480005326897019,1.1181605691057825,3.9,56.32392735077133,4,165,185,0,376.7431293484669,True,False,202,13,06:17/km,18.837156467423345
79,3950.0,4000.0,50.0,248.28845528455287,249.08057971014492,248.69644161659008,0.24869644161659007,1.5842488511840997,3.95,57.11605177636338,4,165,185,0,380.73580715871327,True,False,204,13,06:21/km,19.036790357935665
80,4000.0,4050.0,50.0,249.08057971014492,249.3419533799534,249.18162551940813,0.24918162551940812,0.5227473396169557,4.0,57.377425446171856,4,165,185,0,376.7431293484669,True,False,204,13,06:17/km,18.837156467423345
