fold,atividade_id,modelo,n_treino,n_teste,mae_s_km,rmse_s_km,r2,erro_assinado_s_km,tempo_treino_s,tempo_previsao_s
21,22980101796,HistGradientBoosting,5026,350,49.958073070894535,58.6180170865982,-2.5987824986584855,38.958957143386705,0.8107644139963668,0.010657482998794876
21,22980101796,SVR_RBF,5026,350,23.543712676328127,30.944632763488375,-0.0029147522660519787,-1.796476359541331,0.4796786999941105,0.02766763500403613
21,22980101796,RedeNeuronal_MLP,5026,350,41.3239589495383,52.566369260830626,-1.8940718998388029,24.09900186988318,6.662579051000648,0.0024836800002958626
21,22980101796,Dummy,5026,350,29.296132378245577,35.65937154161271,-0.33180525233389613,17.798973296358742,0.0013186829892219976,0.000425928010372445
22,23059351180,Ridge,5286,90,102.92658426666729,104.58363446416413,-76.67088568057342,102.92658426666729,0.004552451995550655,0.002576667000539601
22,23059351180,RandomForest,5286,90,33.44418527775732,42.28396478851051,-11.696446937247204,30.61599395893751,0.4438067199953366,0.03944838199822698
22,23059351180,GradientBoosting,5286,90,28.439306895579243,32.674869473767664,-6.581559011948104,27.777533227454878,0.7777056079939939,0.0019157860078848898
22,23059351180,HistGradientBoosting,5286,90,27.90472241655966,30.688235136791793,-5.687666739736696,27.768337370442428,0.9486264760053018,0.004126419997191988
22,23059351180,SVR_RBF,5286,90,111.76300034617127,112.33365169856579,-88.60877718607314,111.76300034617127,0.5234268240019446,0.007998335000593215
22,23059351180,RedeNeuronal_MLP,5286,90,30.505643569306642,42.01771959439023,-11.537061430966899,27.787159726952865,12.85991036600899,0.0012540649913717061
22,23059351180,Dummy,5286,90,162.49438333663278,162.9271192675229,-187.5026910258444,162.49438333663278,0.0006927159993210807,0.00021474099776241928
23,23064485029,Ridge,5113,263,48.83659672596592,63.405941504251665,-0.19644122175754108,0.7193816716840791,0.0035369690012885258,0.0011908470041817054
23,23064485029,RandomForest,5113,263,55.368860056283125,69.41990696229631,-0.4341662919894904,21.340578493962244,0.3655609440029366,0.04016209198744036
23,23064485029,GradientBoosting,5113,263,38.155352381766605,52.0334893587637,0.19425548563494055,10.2863487983319,0.7305342189938528,0.0016834989946801215
23,23064485029,HistGradientBoosting,5113,263,38.36313281389097,53.74916844467636,0.14024451426075846,9.654543549119289,0.7700317690032534,0.004182618009508587
23,23064485029,SVR_RBF,5113,263,61.000338047709974,80.25679839803738,-0.9168808468357452,-52.93324531722988,0.49219391800579615,0.020583435994922183
23,23064485029,RedeNeuronal_MLP,5113,263,56.57505079137335,68.50684534048098,-0.39668797715367465,25.319311916537853,7.324890350995702,0.0016919109912123531
23,23064485029,Dummy,5113,263,54.98021158834527,73.19826164930191,-0.5945310878396537,-44.69629823801608,0.0007082219963194802,0.00022687000455334783
24,23095730671,Ridge,5253,123,105.13866943941838,112.76046500520447,-7.054941289661748,105.13866943941838,0.0024131299869623035,0.0007471570133930072
24,23095730671,RandomForest,5253,123,73.93294822122512,85.14193146379833,-3.5923571819134867,73.7362474564338,0.36667906600632705,0.0414500990009401
24,23095730671,GradientBoosting,5253,123,85.32361421510006,94.3505358813779,-4.639458502917316,85.32361421510006,0.8612395630043466,0.0016099840140668675
24,23095730671,HistGradientBoosting,5253,123,75.51258613163974,87.99450336049844,-3.9052342495559067,75.40025260695694,0.9447177900001407,0.004095912998309359
24,23095730671,SVR_RBF,5253,123,91.12379523685658,99.97431884131115,-5.331776411955647,91.12379523685658,0.5889374249964021,0.01552323299983982
24,23095730671,RedeNeuronal_MLP,5253,123,70.55121598682516,82.60574386045684,-3.3228399430430615,70.39721454552297,9.856798504988546,0.0014222300087567419
24,23095730671,Dummy,5253,123,122.20430605853946,128.50064963277865,-9.460665368909732,122.20430605853946,0.0006423159939004108,0.00021832200582139194
25,23119535339,Ridge,5206,170,43.88633290964726,51.64655928045666,0.07445276233440135,26.97652244696525,0.0023237839923240244,0.0008556219981983304
25,23119535339,RandomForest,5206,170,30.35390162506588,38.59867859690581,0.48303555437893875,4.70506459784159,0.3771416469971882,0.043105484000989236
25,23119535339,GradientBoosting,5206,170,33.395368199330875,42.997375039577186,0.358495529551219,11.643126308461442,1.0582616470055655,0.0023962569975992665
25,23119535339,HistGradientBoosting,5206,170,32.14345953517945,41.989533072257785,0.3882163141031879,10.38103671718567,0.943865105000441,0.003989424993051216
25,23119535339,SVR_RBF,5206,170,44.69078052638158,56.87722108830937,-0.12251600011876129,-19.872522009198477,0.5604961709905183,0.018532451998908073
25,23119535339,RedeNeuronal_MLP,5206,170,31.102730975152593,42.11351775649556,0.38459808892404834,14.1954477676764,9.710348186999909,0.002374788004090078
25,23119535339,Dummy,5206,170,45.963705868684414,57.45750085479494,-0.14553738092218538,-20.479972869446712,0.0009927870123647153,0.0003675799962366
26,23161986328,Ridge,5034,342,195.43915874587623,230.85814429644878,-0.0739384803862253,83.61403521552467,0.004543634000583552,0.0012290710001252592
26,23161986328,RandomForest,5034,342,110.38541187191902,128.4302463949381,0.6676286089607562,56.76402702468568,0.4101566239987733,0.04006970098998863
26,23161986328,GradientBoosting,5034,342,113.96248386141717,143.61840235656794,0.5843678003335837,-1.2283163346774801,0.8865087479935028,0.0017431479936931282
26,23161986328,HistGradientBoosting,5034,342,132.08918868614384,178.396833640045,0.3586969773915074,-26.16882258780117,0.9552676059975056,0.005520662991330028
26,23161986328,SVR_RBF,5034,342,164.30904232723432,237.3140264760379,-0.13484309419817686,-83.37863340008732,0.4702030280022882,0.027857178007252514
26,23161986328,RedeNeuronal_MLP,5034,342,202.4745957917713,223.21904102730875,-0.004041073212523116,196.35008567531222,6.708138101006625,0.0019238990062149242
26,23161986328,Dummy,5034,342,165.8567733826382,231.20872302934146,-0.07720270021487075,-61.89730546457784,0.0014036890061106533,0.0004984580009477213
27,23192176528,Ridge,5278,98,25.46639938202514,31.79408927402675,-0.042479009327526684,-10.690448972511511,0.004649372000130825,0.0024828530004015192
27,23192176528,RandomForest,5278,98,49.884678189827326,61.38396229371894,-2.885835192639443,-38.78021892706025,0.3977252359909471,0.04401206600596197
27,23192176528,GradientBoosting,5278,98,59.448085574937764,66.76862669072212,-3.597475544144964,-57.83667744494078,1.2178244440001436,0.003302133991383016
27,23192176528,HistGradientBoosting,5278,98,54.82894317194256,62.66301300695313,-3.04945974962415,-49.67064730458602,0.8959178569930373,0.004163355988566764
27,23192176528,SVR_RBF,5278,98,59.88281234567428,66.96043371519063,-3.6239279295533935,-59.75722104214387,0.5442283199954545,0.008756555995205417
27,23192176528,RedeNeuronal_MLP,5278,98,55.7827431952645,66.70185022091914,-3.5882841115087913,-45.161137240521995,13.31042974400043,0.0026738810120150447
27,23192176528,Dummy,5278,98,55.41343284251001,63.25217718066451,-3.12596460460687,-55.056013010276466,0.001517195996711962,0.0006251719896681607
