atividade_id,nivel,motivo,n,percentagem
21909979898,grupo,cobertura_troco_insuficiente,19,14.615384615384615
21909979898,grupo,menos_2_intervalos,12,9.23076923076923
21909979898,grupo,valido,97,74.61538461538461
21946978854,grupo,cobertura_troco_excessiva,15,5.617977528089888
21946978854,grupo,cobertura_troco_insuficiente,23,8.614232209737828
21946978854,grupo,menos_2_intervalos,18,6.741573033707865
21946978854,grupo,valido,211,79.02621722846442
22118031985,grupo,cobertura_troco_excessiva,6,3.5294117647058822
22118031985,grupo,cobertura_troco_insuficiente,11,6.470588235294118
22118031985,grupo,menos_2_intervalos,6,3.5294117647058822
22118031985,grupo,valido,147,86.47058823529412
22259327797,grupo,cobertura_troco_excessiva,17,5.555555555555555
22259327797,grupo,cobertura_troco_insuficiente,36,11.764705882352942
22259327797,grupo,menos_2_intervalos,36,11.764705882352942
22259327797,grupo,valido,217,70.91503267973856
22582028728,grupo,cobertura_troco_excessiva,11,4.680851063829787
22582028728,grupo,cobertura_troco_insuficiente,11,4.680851063829787
22582028728,grupo,menos_2_intervalos,21,8.936170212765957
22582028728,grupo,valido,192,81.70212765957447
22610623020,grupo,cobertura_troco_excessiva,4,3.125
22610623020,grupo,cobertura_troco_insuficiente,23,17.96875
22610623020,grupo,menos_2_intervalos,12,9.375
22610623020,grupo,valido,89,69.53125
22664327478,grupo,cobertura_troco_excessiva,8,2.1447721179624666
22664327478,grupo,cobertura_troco_insuficiente,59,15.817694369973191
22664327478,grupo,menos_2_intervalos,42,11.26005361930295
22664327478,grupo,valido,264,70.77747989276139
22882313372,grupo,cobertura_troco_insuficiente,23,18.11023622047244
22882313372,grupo,menos_2_intervalos,1,0.7874015748031497
22882313372,grupo,valido,103,81.10236220472441
22910890927,grupo,cobertura_troco_insuficiente,66,22.916666666666668
22910890927,grupo,menos_2_intervalos,10,3.4722222222222223
22910890927,grupo,valido,212,73.61111111111111
22943992812,grupo,cobertura_troco_insuficiente,31,21.830985915492956
22943992812,grupo,menos_2_intervalos,5,3.5211267605633805
22943992812,grupo,valido,106,74.64788732394366
22980101796,grupo,cobertura_troco_insuficiente,8,2.2346368715083798
22980101796,grupo,valido,350,97.76536312849161
23059351180,grupo,cobertura_troco_insuficiente,22,19.130434782608695
23059351180,grupo,menos_2_intervalos,3,2.608695652173913
23059351180,grupo,valido,90,78.26086956521739
23064485029,grupo,cobertura_troco_insuficiente,55,16.87116564417178
23064485029,grupo,menos_2_intervalos,8,2.4539877300613497
23064485029,grupo,valido,263,80.67484662576688
23095730671,grupo,cobertura_troco_insuficiente,13,9.352517985611511
23095730671,grupo,menos_2_intervalos,3,2.158273381294964
23095730671,grupo,valido,123,88.48920863309353
23119535339,grupo,cobertura_troco_insuficiente,28,14.0
23119535339,grupo,menos_2_intervalos,2,1.0
23119535339,grupo,valido,170,85.0
23161986328,grupo,cobertura_troco_insuficiente,122,25.630252100840337
23161986328,grupo,menos_2_intervalos,12,2.5210084033613445
23161986328,grupo,valido,342,71.84873949579831
23192176528,grupo,cobertura_troco_insuficiente,35,25.547445255474454
23192176528,grupo,menos_2_intervalos,4,2.9197080291970803
23192176528,grupo,valido,98,71.53284671532846
23219229363,grupo,cobertura_troco_insuficiente,39,27.083333333333332
23219229363,grupo,menos_2_intervalos,4,2.7777777777777777
23219229363,grupo,valido,101,70.13888888888889
23299035298,grupo,cobertura_troco_insuficiente,26,12.871287128712872
23299035298,grupo,menos_2_intervalos,1,0.49504950495049505
23299035298,grupo,valido,175,86.63366336633663
23356119297,grupo,cobertura_troco_insuficiente,30,22.900763358778626
23356119297,grupo,menos_2_intervalos,5,3.816793893129771
23356119297,grupo,valido,96,73.2824427480916
23379302381,grupo,cobertura_troco_excessiva,1,0.9615384615384616
23379302381,grupo,cobertura_troco_insuficiente,12,11.538461538461538
23379302381,grupo,menos_2_intervalos,3,2.8846153846153846
23379302381,grupo,valido,88,84.61538461538461
23996168837,grupo,cobertura_troco_insuficiente,37,23.870967741935484
23996168837,grupo,menos_2_intervalos,3,1.935483870967742
23996168837,grupo,valido,115,74.19354838709677
24069625931,grupo,cobertura_troco_insuficiente,46,18.4
24069625931,grupo,menos_2_intervalos,3,1.2
24069625931,grupo,valido,201,80.4
24225591249,grupo,cobertura_troco_insuficiente,24,20.0
24225591249,grupo,menos_2_intervalos,3,2.5
24225591249,grupo,valido,93,77.5
