atividade_id,timestamp,distancia_m,altitude_m,fc_bpm,velocidade_fit_m_s
21568213058,2026-01-16 17:54:02+00:00,2949.0,76.39999999999998,188,2.463
21568213058,2026-01-16 17:54:05+00:00,2955.92,76.39999999999998,188,2.454
21568213058,2026-01-16 17:54:13+00:00,2976.89,77.0,188,2.445
21568213058,2026-01-16 17:54:14+00:00,2979.43,77.20000000000005,187,2.445
21568213058,2026-01-16 17:54:22+00:00,2998.7,77.79999999999995,187,2.445
21568213058,2026-01-16 17:54:30+00:00,3019.26,78.39999999999998,187,2.445
21568213058,2026-01-16 17:54:38+00:00,3039.58,79.20000000000005,186,2.454
21568213058,2026-01-16 17:54:39+00:00,3042.27,79.39999999999998,186,2.454
21568213058,2026-01-16 17:54:47+00:00,3062.5,80.0,187,2.454
21568213058,2026-01-16 17:54:48+00:00,3065.17,80.0,187,2.454
21568213058,2026-01-16 17:54:57+00:00,3087.31,79.20000000000005,186,2.463
21568213058,2026-01-16 17:54:58+00:00,3089.96,79.20000000000005,186,2.463
21568213058,2026-01-16 17:55:06+00:00,3110.08,79.79999999999995,185,2.463
21568213058,2026-01-16 17:55:09+00:00,3118.06,80.0,185,2.463
21568213058,2026-01-16 17:55:17+00:00,3139.0,80.20000000000005,186,2.473
21568213058,2026-01-16 17:55:20+00:00,3146.58,80.20000000000005,187,2.482
21568213058,2026-01-16 17:55:28+00:00,3167.51,80.39999999999998,187,2.491
21568213058,2026-01-16 17:55:29+00:00,3170.29,80.60000000000002,187,2.491
21568213058,2026-01-16 17:55:37+00:00,3191.14,80.79999999999995,186,2.51
21568213058,2026-01-16 17:55:45+00:00,3211.13,81.0,187,2.519
21568213058,2026-01-16 17:55:51+00:00,3225.67,81.20000000000005,187,2.51
21568213058,2026-01-16 17:55:59+00:00,3245.87,80.60000000000002,188,2.51
21568213058,2026-01-16 17:56:00+00:00,3248.1,80.60000000000002,188,2.501
21568213058,2026-01-16 17:56:08+00:00,3268.91,80.20000000000005,188,2.501
21568213058,2026-01-16 17:56:14+00:00,3284.35,80.20000000000005,188,2.501
21568213058,2026-01-16 17:56:22+00:00,3306.46,80.20000000000005,188,2.51
21568213058,2026-01-16 17:56:23+00:00,3308.93,80.20000000000005,188,2.51
21568213058,2026-01-16 17:56:27+00:00,3319.39,80.60000000000002,188,2.529
21568213058,2026-01-16 17:56:30+00:00,3327.6,81.39999999999998,188,2.529
21568213058,2026-01-16 17:56:37+00:00,3347.58,83.60000000000002,188,2.547
21568213058,2026-01-16 17:56:45+00:00,3370.08,86.0,189,2.585
21568213058,2026-01-16 17:56:53+00:00,3391.07,85.0,190,2.613
21568213058,2026-01-16 17:56:55+00:00,3396.32,84.79999999999995,190,2.613
21568213058,2026-01-16 17:57:04+00:00,3418.98,85.60000000000002,190,2.613
21568213058,2026-01-16 17:57:08+00:00,3429.66,85.79999999999995,190,2.613
21568213058,2026-01-16 17:57:16+00:00,3451.15,86.0,190,2.603
21568213058,2026-01-16 17:57:24+00:00,3470.45,86.0,191,2.613
21568213058,2026-01-16 17:57:32+00:00,3492.89,86.39999999999998,190,2.594
21568213058,2026-01-16 17:57:33+00:00,3495.43,86.39999999999998,190,2.594
21568213058,2026-01-16 17:57:41+00:00,3516.18,85.79999999999995,191,2.603
21568213058,2026-01-16 17:57:46+00:00,3528.84,85.79999999999995,191,2.603
21568213058,2026-01-16 17:57:54+00:00,3549.62,86.39999999999998,191,2.613
21568213058,2026-01-16 17:57:57+00:00,3557.1,86.0,191,2.603
21568213058,2026-01-16 17:58:05+00:00,3577.82,84.0,191,2.594
21568213058,2026-01-16 17:58:08+00:00,3585.52,83.79999999999995,191,2.594
21568213058,2026-01-16 17:58:17+00:00,3607.05,83.79999999999995,191,2.585
21568213058,2026-01-16 17:58:25+00:00,3625.52,84.39999999999998,190,2.566
21568213058,2026-01-16 17:58:34+00:00,3647.18,83.79999999999995,191,2.557
21568213058,2026-01-16 17:58:42+00:00,3668.19,85.39999999999998,190,2.529
21568213058,2026-01-16 17:58:45+00:00,3676.12,85.79999999999995,190,2.538
21568213058,2026-01-16 17:58:53+00:00,3697.99,85.79999999999995,191,2.566
21568213058,2026-01-16 17:58:56+00:00,3705.42,85.79999999999995,190,2.575
21568213058,2026-01-16 17:59:04+00:00,3726.89,85.79999999999995,189,2.594
21568213058,2026-01-16 17:59:07+00:00,3734.6,86.20000000000005,189,2.594
21568213058,2026-01-16 17:59:15+00:00,3754.88,87.60000000000002,190,2.613
21568213058,2026-01-16 17:59:16+00:00,3757.18,87.60000000000002,190,2.613
21568213058,2026-01-16 17:59:25+00:00,3779.18,88.79999999999995,190,2.585
21568213058,2026-01-16 17:59:33+00:00,3802.01,89.39999999999998,190,2.585
21568213058,2026-01-16 17:59:41+00:00,3823.27,89.79999999999995,190,2.613
21568213058,2026-01-16 17:59:49+00:00,3844.13,89.60000000000002,190,2.613
21568213058,2026-01-16 17:59:57+00:00,3863.35,89.39999999999998,190,2.603
21568213058,2026-01-16 18:00:04+00:00,3879.43,91.0,190,2.594
21568213058,2026-01-16 18:00:12+00:00,3899.86,96.39999999999998,190,2.585
21568213058,2026-01-16 18:00:14+00:00,3905.36,97.20000000000005,190,2.575
21568213058,2026-01-16 18:00:20+00:00,3919.57,98.20000000000005,190,2.566
21568213058,2026-01-16 18:00:22+00:00,3924.54,98.20000000000005,190,2.566
21568213058,2026-01-16 18:00:30+00:00,3946.18,97.0,190,2.547
21568213058,2026-01-16 18:00:34+00:00,3955.32,96.20000000000005,189,2.547
21568213058,2026-01-16 18:02:26+00:00,3957.17,92.20000000000005,152,0.0
21568213058,2026-01-16 18:02:27+00:00,3959.21,92.20000000000005,151,0.0
21568213058,2026-01-16 18:02:29+00:00,3964.01,91.79999999999995,148,1.446
21568213058,2026-01-16 18:02:35+00:00,3978.93,90.79999999999995,148,2.314
21568213058,2026-01-16 18:02:40+00:00,3991.62,89.60000000000002,152,2.379
21568213058,2026-01-16 18:02:42+00:00,3996.56,89.39999999999998,157,2.379
21568213058,2026-01-16 18:02:45+00:00,4004.06,89.20000000000005,158,2.389
21568213058,2026-01-16 18:02:49+00:00,4013.65,89.20000000000005,161,2.398
21568213058,2026-01-16 18:02:54+00:00,4025.92,89.20000000000005,163,2.389
21568213058,2026-01-16 18:03:03+00:00,4047.61,89.39999999999998,163,2.398
21568213058,2026-01-16 18:03:11+00:00,4067.83,89.20000000000005,164,2.435
21568213058,2026-01-16 18:03:13+00:00,4073.65,89.0,167,2.445
21568213058,2026-01-16 18:03:14+00:00,4075.89,89.0,164,2.454
21568213058,2026-01-16 18:03:22+00:00,4097.27,88.60000000000002,166,2.519
21568213058,2026-01-16 18:03:23+00:00,4100.34,88.60000000000002,167,2.529
21568213058,2026-01-16 18:03:29+00:00,4115.11,88.39999999999998,168,2.547
21568213058,2026-01-16 18:03:30+00:00,4117.8,88.60000000000002,169,2.547
21568213058,2026-01-16 18:03:33+00:00,4125.32,89.39999999999998,170,2.547
21568213058,2026-01-16 18:03:41+00:00,4146.13,89.79999999999995,172,2.557
21568213058,2026-01-16 18:03:47+00:00,4161.51,89.60000000000002,169,2.566
21568213058,2026-01-16 18:03:49+00:00,4166.86,89.60000000000002,169,2.566
21568213058,2026-01-16 18:03:57+00:00,4187.15,89.60000000000002,170,2.566
